date,max_temp,min_temp
2021-06-01,15.2,8.4
2021-06-02,21.4,12.1
2021-06-03,18.6,10.4
2021-06-04,14.2,11.1
2021-06-05,15.9,8.9
2021-06-06,13.1,8.1
2021-06-07,17.6,10.9
2021-06-08,16.1,12.5
2021-06-09,14.3,11.4
2021-06-10,15.8,11.6
2021-06-11,13.2,9.2
2021-06-12,12.9,10.5
2021-06-13,13.8,9.3
2021-06-14,12.1,7.5
2022-06-01,13.8,5.9
2022-06-02,14.6,8.1
2022-06-03,16.6,9.6
2022-06-04,16.8,8.4
2022-06-05,17.1,10.1
2022-06-06,17.5,9.7
2022-06-07,17.0,9.9
2022-06-08,14.4,11.0
2022-06-09,15.1,11.4
2022-06-10,14.1,11.1
2022-06-11,12.9,9.1
2022-06-12,12.2,9.2
2022-06-13,13.2,10.3
2022-06-14,12.6,10.6
2023-06-01,13.4,8.6
2023-06-02,15.6,7.8
2023-06-03,13.9,8.5
2023-06-04,13.4,7.6
2023-06-05,15.8,8.1
2023-06-06,16.0,8.4
2023-06-07,14.7,9.2
2023-06-08,16.8,9.4
2023-06-09,17.8,11.1
2023-06-10,24.5,15.5
2023-06-11,21.0,13.7
2023-06-12,20.4,13.6
2023-06-13,24.0,14.8
2023-06-14,23.8,14.2
2024-06-01,14.5,9.7
2024-06-02,13.1,8.8
2024-06-03,13.8,9.4
2024-06-04,9.4,5.8
2024-06-05,10.4,5.6
2024-06-06,11.6,7.2
2024-06-07,10.9,5.8
2024-06-08,10.4,5.8
2024-06-09,11.6,6.8
2024-06-10,9.8,5.9
2024-06-11,10.3,6.1
2024-06-12,10.5,6.2
2024-06-13,14.4,9.4
2024-06-14,14.2,7.1
2025-06-01,14.4,7.3
2025-06-02,13.1,8.4
2025-06-03,11.2,5.7
2025-06-04,10.6,7.1
2025-06-05,11.6,6.6
2025-06-06,12.7,6.9
2025-06-07,11.9,5.8
2025-06-08,12.1,7.1
2025-06-09,10.4,7.6
2025-06-10,13.4,9.3
2025-06-11,17.7,10.1
2025-06-12,21.0,13.0
2025-06-13,18.8,10.7
2025-06-14,17.2,10.2
